Actor,Total Gross,Number of Movies,Average per Movie,#1 Movie,Gross
Harrison Ford,4871.7,41,118.8,Star Wars: The Force Awakens,936.7
Samuel L. Jackson,4772.8,69,69.2,The Avengers,623.4
Morgan Freeman,4468.3,61,73.3,The Dark Knight,534.9
Tom Hanks,4340.8,44,98.7,Toy Story 3,415.0
Robert Downey Jr.,3947.3,53,74.5,The Avengers,623.4
Eddie Murphy,3810.4,38,100.3,Shrek 2,441.2
Tom Cruise,3587.2,36,99.6,War of the Worlds,234.3
Johnny Depp,3368.6,45,74.9,Dead Man's Chest,423.3
Michael Caine,3351.5,58,57.8,The Dark Knight,534.9
Scarlett Johansson,3341.2,37,90.3,The Avengers,623.4
Gary Oldman,3294.8,38,86.7,The Dark Knight,534.9
Robert De Niro,3081.3,79,39.0,Meet the Fockers,279.3
Brad Pitt,3007.3,40,75.2,World War Z,202.4
Bruce Willis,2988.5,60,49.8,Sixth Sense,293.5
Will Smith,2935.6,27,108.7,Independence Day,306.2
Liam Neeson,2942.7,63,46.7,The Phantom Menace,474.5
Matt Damon,2926.5,39,75.0,The Martian,228.4
Cameron Diaz,2911.9,32,91.0,Shrek 2,441.2
Cate Blanchett,2905.5,39,74.5,Return of the King,377.8
George Clooney,2896.7,45,64.4,Gravity,274.1
Robin Williams,2873.8,49,58.7,Aladdin,217.4
Anthony Daniels,3162.9,7,451.8,Star Wars: The Force Awakens,936.7
Ian McKellen,2865.0,31,92.4,Return of the King,377.8
Hugo Weaving,2863.4,26,110.1,Return of the King,377.8
Tommy Lee Jones,2829.5,46,61.5,Men in Black,250.7
Emma Watson,2825.3,17,166.2,Beauty and the Beast,504.0
Daniel Radcliffe,2816.7,17,165.7,Deathly Hallows Part 2,381.0
Warwick Davis,2775.5,22,126.2,Deathly Hallows Part 2,381.0
Helena Bonham Carter,2766.6,36,76.9,Alice in Wonderland,334.2
Alan Rickman,2738.5,29,94.4,Deathly Hallows Part 2,381.0
Rupert Grint,2722.5,16,170.2,Deathly Hallows Part 2,381.0
Orlando Bloom,2709.5,17,159.4,Dead Man's Chest,423.3
Vin Diesel,2703.3,25,108.1,Furious 7,353.0
Frank Welker,2701.0,55,49.1,Transformers 3,352.4
Tom Hardy,2690.8,26,103.5,The Dark Knight Rises,448.1
Keira Knightley,2679.5,24,111.6,Dead Man's Chest,423.3
Christian Bale,2671.8,30,89.1,The Dark Knight,534.9
Andy Serkis,2654.4,23,115.4,Return of the King,377.8
Geoffrey Rush,2637.5,27,97.7,Dead Man's Chest,423.3
Anne Hathaway,2602.1,25,104.1,The Dark Knight Rises,448.1
Jim Cummings,2599.3,47,55.3,Winnie the Pooh,26.7
Bill Nighy,2582.1,39,66.2,Dead Man's Chest,423.3
Mark Wahlberg,2566.4,36,71.3,Transformers 4,245.4
Jennifer Lawrence,2564.5,21,122.1,Catching Fire,424.7
Ben Stiller,2562.3,37,69.3,Night at the Museum,250.9
Chris Evans,2550.6,23,110.9,The Avengers,623.4
Jeremy Renner,2542.9,27,94.2,The Avengers,623.4
Chris Hemsworth,2540.1,21,121.0,The Avengers,623.4
Mark Ruffalo,2537.5,34,74.6,The Avengers,623.4
Steve Buscemi,2520.9,56,45.0,Hotel Transylvania 2,169.7
