Year,Total Gross,Number of Movies,#1 Movie
1980,7749.0,161,The Empire Strikes Back
1981,7707.0,173,Raiders of the Lost Ark
1982,8957.0,180,E.T.: The Extra-Terrestrial
1983,8511.0,204,Return of the Jedi
1984,7848.0,214,Ghostbusters
1985,7663.0,230,Back to the Future
1986,7293.0,237,Top Gun
1987,8183.0,248,Three Men and a Baby
1988,8294.0,262,Rain Man
1989,8843.0,267,Batman
1990,9040.0,270,Home Alone
1991,8828.0,273,Terminator 2
1992,8892.0,295,Aladdin
1993,9343.0,307,Jurassic Park
1994,9663.0,327,The Lion King
1995,9371.0,357,Toy Story
1996,9209.0,371,Independence Day
1997,10174.0,398,Titanic
1998,10565.0,421,Saving Private Ryan
1999,10595.0,461,Star Wars Episode I
2000,9630.0,478,How the Grinch Stole Christmas
2001,9663.0,482,Harry Potter 1
2002,10837.0,549,Spider-Man
2003,10923.0,553,Finding Nemo
2004,10360.0,551,Shrek 2
2005,9466.0,547,Revenge of the Sith
2006,9209.5,608,Dead Man's Chest
2007,9663.8,631,Spider-Man 3
2008,9630.7,608,The Dark Knight
2009,10595.5,521,Avatar
2010,10565.6,536,Toy Story 3
2011,10174.3,602,Deathly Hallows Part 2
2012,10837.4,667,The Avengers
2013,10923.6,688,Catching Fire
2014,10360.8,702,American Sniper
2015,11128.5,702,Star Wars: The Force Awakens
